Date,Description,Original Description,Category,Amount,Status
2026-06-23,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-11.96,Posted
2026-06-23,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-11.12,Posted
2026-06-23,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-10.82,Posted
2026-06-22,"USAA Property and Casualty Insurance","USAA P&C         BILLPYMNT  ***********1619",Financial,-108.19,Posted
2026-06-22,"Amazon","AMAZON.COM SERVI INTERNET   ***********8020",Shopping,-46.76,Posted
2026-06-22,"Rocket Money Premium","Rocket Money     Premium    ***********O3Q8",Financial,-10.78,Posted
2026-06-22,"Freedom Industries","FREEDOM INDUSTRIES       562-3108142  DE",Clothing,-139.00,Posted
2026-06-22,"Instacart","IC* INSTACART            INSTACART.COMCA",Groceries,-80.80,Posted
2026-06-22,"SavageXFenty","IBI*SavageXFenty         855-7282439  CA",Clothing,-65.95,Posted
2026-06-22,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-43.99,Posted
2026-06-22,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-42.50,Posted
2026-06-22,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-36.11,Posted
2026-06-22,"Prime Video","Prime Video *097LG6DJ3   888-802-3080 WA",Television,-26.56,Posted
2026-06-22,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-15.87,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-14.42,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-13.11,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-11.92,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-11.80,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-11.52,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-11.33,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-11.33,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-11.17,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-11.02,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-11.01,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-10.96,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-10.93,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-10.91,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-10.89,Posted
2026-06-22,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-10.88,Posted
2026-06-22,"Prime Video","Prime Video *K28A172Z3   888-802-3080 WA",Television,-10.62,Posted
2026-06-22,"Prime Video","Prime Video *997TL6BS3   888-802-3080 WA",Television,-10.62,Posted
2026-06-22,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-10.62,Posted
2026-06-22,"Mobile Deposit","DEPOSIT@MOBILE",Income,515.75,Posted
2026-06-22,"Mobile Deposit","DEPOSIT@MOBILE",Income,63.07,Posted
2026-06-22,"Mobile Deposit","DEPOSIT@MOBILE",Income,58.80,Posted
2026-06-18,"Onpoint Visa Payment","ONPOINT VISA PMT PAYMENT    ***********6440",Credit Card Payment,-273.15,Posted
2026-06-18,"Fandango","PAYPAL *FANDANGO         402-935-7733 CA",Movies & Dvds,-26.56,Posted
2026-06-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-11.56,Posted
2026-06-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-11.49,Posted
2026-06-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-10.83,Posted
2026-06-17,"Salt River Project SurePay","SRP              SUREPAY-S1 ***********8008",Bills & Utilities,-250.03,Posted
2026-06-17,"Instacart via Instacart","IC* COSTCO BY INSTACAR   INSTACART.COMCA",Shopping,-252.56,Posted
2026-06-17,"Circle K","CIRCLE K # 03462         CHANDLER     AZ",Gas,-32.44,Posted
2026-06-17,"Posit Software","POSIT SOFTWARE  PBC      POSIT.CO     MA",Business Services,-15.95,Posted
2026-06-17,"Redbock Payroll","REDBOCK          PAYROLL    ***********6Q8J",Paycheck,4534.71,Posted
2026-06-16,"Lakeview Loan Servicing","LAKEVIEW LN SRV  MTG PYMT   ***********8233",Mortgage & Rent,-2897.07,Posted
2026-06-16,"Stash Cash Mgep","Stash Cash Mngt  Stash      ***********MGEP",Investments,-30.00,Posted
2026-06-16,"Amazon Grocery","Amazon Grocery Subscri   888-280-4331 WA",Groceries,-10.62,Posted
2026-06-15,"USAA Credit Card","USAA CREDIT CARD PAYMENT    ***********5021",Credit Card Payment,-187.00,Posted
2026-06-15,"PayPal","PAYPAL           PURCHASE   ***********OSTC",Uncategorized,-151.61,Posted
2026-06-15,"PayPal","PAYPAL           PURCHASE   ***********.HBO",Uncategorized,-19.66,Posted
2026-06-15,"Elka Bees Coffee & Wilsonvile or","SQ *ELKA BEES COFFEE &   Wilsonvile   OR",Coffee Shops,-32.28,Posted
2026-06-15,"Plaid Pantry","PLAID PANTRY #129        WILSONVILLE  OR",Food & Dining,-12.30,Posted
2026-06-15,"Safeway","SAFEWAY #0285            WILSONVILLE  OR",Groceries,-10.91,Posted
2026-06-12,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-107.80,Posted
2026-06-11,"Waste Management","WASTE MANAGEMENT PAYMENT    ***********3001",Utilities,-34.70,Posted
2026-06-11,"Amazon","AMAZON MARKETPLA INTERNET   ***********8392",Shopping,-25.52,Posted
2026-06-11,"PayPal","PAYPAL           PURCHASE   ***********TIME",Uncategorized,-4.25,Posted
2026-06-11,"Elka Bees Coffee & Wilsonvile or","SQ *ELKA BEES COFFEE &   Wilsonvile   OR",Coffee Shops,-25.56,Posted
2026-06-11,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-13.81,Posted
2026-06-11,"Elka Bees Coffee & Wilsonvile or","SQ *ELKA BEES COFFEE &   Wilsonvile   OR",Coffee Shops,-5.95,Posted
2026-06-10,"Amazon","AMAZON MARKETPLA INTERNET   ***********4592",Shopping,-39.99,Posted
2026-06-10,"Fred Meyer","FRED MEYER #0516         WILSONVILLE  OR",Groceries,-18.96,Posted
2026-06-10,"Elka Bees Coffee & Wilsonvile or","SQ *ELKA BEES COFFEE &   Wilsonvile   OR",Coffee Shops,-12.42,Posted
2026-06-09,"Stash Cash","Stash Cash Mngt  Stash      ***********TXLF",Investments,-30.00,Posted
2026-06-09,"PayPal","PAYPAL           PURCHASE   ***********4D26",Uncategorized,-13.81,Posted
2026-06-09,"PayPal","PAYPAL           PURCHASE   ***********RRIS",Uncategorized,-7.00,Posted
2026-06-09,"Fabletics","IBI*FABLETICS.COM        844-3225384  CA",Clothing,-69.95,Posted
2026-06-09,"The Edge Family Fi","8711 THE EDGE FAMILY FI  WILSONVILLE  OR",Entertainment,-50.00,Posted
2026-06-09,"Elka Bees Coffee & Wilsonvile or","SQ *ELKA BEES COFFEE &   Wilsonvile   OR",Coffee Shops,-18.84,Posted
2026-06-09,"Posit Software","POSIT SOFTWARE  PBC      WWW.POSIT.CO MA",Electronics & Software,-13.82,Posted
2026-06-09,"Starbucks","STARBUCKS STORE 02916    WILSONVILLE  OR",Coffee Shops,-5.55,Posted
2026-06-08,"Transfer to Venmo","VENMO            PAYMENT    ***********4950",Transfer,-60.00,Posted
2026-06-08,"PayPal","PAYPAL           PURCHASE   ***********CART",Uncategorized,-54.60,Posted
2026-06-08,"Py the Perfect Clean","PY*THE PERFECT CLEAN     480-907-3402 AZ",Home,-180.25,Posted
2026-06-08,"Safeway","SAFEWAY #0285            WILSONVILLE  OR",Groceries,-91.54,Posted
2026-06-08,"Savage X","PAYPAL *SAVAGE X         402-935-7733 CA",Clothing,-69.95,Posted
2026-06-08,"Goodwill","GOODWILL OF WILSONVILLE  WILSONVILLE  OR",Shopping,-50.29,Posted
2026-06-08,"Starbucks","STARBUCKS T3 NORTH PHX   PHOENIX      AZ",Coffee Shops,-30.13,Posted
2026-06-08,"Elka Bees Coffee & Wilsonvile or","SQ *ELKA BEES COFFEE &   Wilsonvile   OR",Coffee Shops,-25.08,Posted
2026-06-08,"7-Eleven","7-ELEVEN                 Sandy        OR",Gas,-22.57,Posted
2026-06-08,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-22.31,Posted
2026-06-08,"Netflix","Netflix.com              LOS GATOS    CA",Television,-21.55,Posted
2026-06-08,"Posit Software","POSIT SOFTWARE  PBC      POSIT.CO     MA",Electronics & Software,-21.26,Posted
2026-06-08,"Dutch Bros Coffee","DUTCH BROS OR2205        SANDY        OR",Coffee Shops,-3.45,Posted
2026-06-05,"Uber","PAYPAL           PURCHASE   ***********UBER",Rental Car & Taxi,-9.99,Posted
2026-06-05,"Google Ewuk","GOOGLE           PURCHASE   ***********EWUK",Uncategorized,-8.40,Posted
2026-06-05,"Bongiorno Bagels","TST*BONGIORNO BAGELS     Gilbert      AZ",Fast Food,-34.33,Posted
2026-06-05,"Shell","SHELL SERVICE STATION    WILSONVILLE  OR",Gas,-26.19,Posted
2026-06-05,"News Market","STLR NEWS MARKET ST2875  PHOENIX      AZ",Newspapers & Magazines,-23.00,Posted
2026-06-05,"Wi-Fi Onboard","WIFIONBOARD ALASKA       WWW.WIFIONBOAIL",Internet,-8.00,Posted
2026-06-05,"Eos Ray and Cooper","8185 EOS RAY AND COOPER  CHANDLER     AZ",Entertainment,-3.55,Posted
2026-06-04,"Jv's Barbershop","SQ *JV'S BARBERSHOP      GILBERT      AZ",Hair,-43.75,Posted
2026-06-04,"Eos Ray and Cooper","8185 EOS RAY AND COOPER  CHANDLER     AZ",Entertainment,-14.18,Posted
2026-06-04,"Cooper Ray Ent","COOPER  RAY ENT          CHANDLER     AZ",Gas,-8.15,Posted
2026-06-03,"Interest Paid","INTEREST PAID",Interest Income,0.03,Posted
2026-06-03,"Taxes Withheld","TAX WITHHELD",Taxes,-0.01,Posted
2026-06-03,"Stash","STASH CAPITAL (S ACH        ***********4939",Investments,-165.00,Posted
2026-06-03,"PayPal","PAYPAL           PURCHASE   ***********PLUS",Uncategorized,-13.00,Posted
2026-06-03,"Stash","Stash Financial  Stash Subs ***********14DB",Service Fee,-12.00,Posted
2026-06-03,"Redbock Payroll","REDBOCK          PAYROLL    ***********9Q8J",Paycheck,3656.76,Posted
2026-06-02,"Stash Cash Iiac","Stash Cash Mngt  Stash      ***********IIAC",Investments,-30.00,Posted
2026-06-02,"PayPal","PAYPAL           PURCHASE   *********** INC",Uncategorized,-10.63,Posted
2026-06-02,"Snip Its Gil","SNIP-ITS* SNIP-ITS-GIL   148-09638111 AZ",Hair,-44.89,Posted
2026-06-01,"City of Chandler","CITY OF CHANDLER UTILITY    ***********1226",Utilities,-82.59,Posted
2026-06-01,"Goodwill","GOODWILL #110204         CHANDLER     AZ",Shopping,-135.99,Posted
2026-06-01,"Goodwill","GOODWILL #110204         CHANDLER     AZ",Shopping,-66.25,Posted
2026-06-01,"Prime Video","Prime Video *WA8VK6LE3   888-802-3080 WA",Television,-26.56,Posted
2026-06-01,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-25.95,Posted
2026-06-01,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-18.31,Posted
2026-06-01,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-15.71,Posted
2026-06-01,"Posit Software","POSIT SOFTWARE  PBC      WWW.POSIT.CO MA",Electronics & Software,-13.82,Posted
2026-06-01,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-11.97,Posted
2026-06-01,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-3.18,Posted
2026-05-29,"YNAB","YOU NEED A BUDGET LLC    YNAB.COM     UT",Financial,-116.74,Posted
2026-05-29,"Fry's Food and Drug","FRYS-FOOD-DRG #0072      GILBERT      AZ",Groceries,-68.79,Posted
2026-05-29,"Circle K","CIRCLE K # 03462         CHANDLER     AZ",Gas,-32.44,Posted
2026-05-29,"Excalidraw.com","PLUS.EXCALIDRAW.COM      BRNO",Electronics & Software,-7.07,Posted
2026-05-29,"Icp Goldfish Swim Schoo","ICP*Goldfish Swim Schoo  480-6802323  AZ",Education,-4.01,Posted
2026-05-28,"Goodwill","GOODWILL # 098           GILBERT      AZ",Shopping,-54.01,Posted
2026-05-27,"PayPal","PAYPAL           PURCHASE   ***********OSTC",Uncategorized,-170.74,Posted
2026-05-27,"Cox Communications","COX COMM PHX     PURCHASE   ***********l4JN",Utilities,-159.95,Posted
2026-05-27,"Stash","STASH CAPITAL (S ACH        ***********8016",Investments,-100.00,Posted
2026-05-27,"Stash Cash","Stash Cash Mngt  Stash      ***********9KQ8",Investments,-30.00,Posted
2026-05-27,"Walgreens","WALGREENS STORE 1925 W   CHANDLER     AZ",Pharmacy,-26.70,Posted
2026-05-26,"Aidvantage","ADVS ED SERV WEB STUDNTLOAN ***********KJQ1",Student Loan,-952.54,Posted
2026-05-26,"Amazon Store Card","AMZ_STORECRD_PMT PAYMENT    ***********6199",Credit Card Payment,-237.00,Posted
2026-05-26,"PayPal","PAYPAL           PURCHASE   ***********CART",Uncategorized,-70.27,Posted
2026-05-26,"PayPal","PAYPAL           PURCHASE   ***********1518",Uncategorized,-34.99,Posted
2026-05-26,"PayPal","PAYPAL           PURCHASE   *********** X68",Uncategorized,-11.61,Posted
2026-05-26,"PayPal","PAYPAL           PURCHASE   ***********CART",Uncategorized,-0.76,Posted
2026-05-26,"Sun Devil Pool Supply","SUN DEVIL POOL SUPPLY    GILBERT      AZ",Home Supplies,-733.27,Posted
2026-05-26,"Chevron","CHEVRON 0207556          CHANDLER     AZ",Gas,-100.00,Posted
2026-05-26,"Fabletics","IBI*FABLETICS.COM        844-3225384  CA",Clothing,-80.67,Posted
2026-05-26,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-45.23,Posted
2026-05-26,"Hulu","Hulu                     SANTA MONICA CA",Television,-20.47,Posted
2026-05-26,"Desert Breeze Railr Chandler","SQ *DESERT BREEZE RAILR  Chandler     AZ",Entertainment,-9.50,Posted
2026-05-26,"Prime Video","Prime Video *NH69N1Z83   888-802-3080 WA",Television,-8.49,Posted
2026-05-26,"Prime Video","Prime Video *Q12PM5NN3   888-802-3080 WA",Television,-4.24,Posted
2026-05-26,"Eos Ray and Cooper","8185 EOS RAY AND COOPER  CHANDLER     AZ",Entertainment,-4.05,Posted
2026-05-26,"Quick Clean Car Wash","QUICK CLEAN CAR WASH     CHANDLER     AZ",Service & Parts,-4.00,Posted
2026-05-26,"Transfer from Venmo","VENMO            CASHOUT    ***********9473",Transfer,548.53,Posted
2026-05-22,"Blue Sky Pest Co","Blue Sky Pest Co WWP*Blue S ***********04f9",Uncategorized,-50.00,Posted
2026-05-22,"Lowe's","LOWE'S #10               GILBERT      AZ",Home Improvement,-42.31,Posted
2026-05-22,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-12.75,Posted
2026-05-21,"USAA Property and Casualty Insurance","USAA P&C         BILLPYMNT  ***********1290",Financial,-108.19,Posted
2026-05-20,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-10.47,Posted
2026-05-20,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-7.38,Posted
2026-05-20,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-7.36,Posted
2026-05-20,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-6.38,Posted
2026-05-20,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-6.26,Posted
2026-05-20,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-6.21,Posted
2026-05-20,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.97,Posted
2026-05-20,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.86,Posted
2026-05-20,"Redbock Payroll","REDBOCK          PAYROLL    ***********4Q8J",Paycheck,4534.71,Posted
2026-05-19,"Stash Cash v Wu","Stash Cash Mngt  Stash      ***********V1WU",Investments,-30.00,Posted
2026-05-19,"Rocket Money Premium","Rocket Money     Premium    ***********P0X9",Financial,-10.78,Posted
2026-05-19,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-7.83,Posted
2026-05-19,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-6.60,Posted
2026-05-19,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-6.54,Posted
2026-05-19,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.90,Posted
2026-05-19,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.73,Posted
2026-05-19,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.64,Posted
2026-05-19,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.40,Posted
2026-05-19,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.40,Posted
2026-05-19,"Eos Ray and Cooper","8185 EOS RAY AND COOPER  CHANDLER     AZ",Entertainment,-3.55,Posted
2026-05-18,"Lakeview Loan Servicing","LAKEVIEW LN SRV  MTG PYMT   ***********8233",Mortgage & Rent,-2897.07,Posted
2026-05-18,"PayPal","PAYPAL           PURCHASE   ***********OSTC",Uncategorized,-340.67,Posted
2026-05-18,"Paddle","PADDLE.COM MARKE PURCHASE   ***********5682",Electronics & Software,-53.87,Posted
2026-05-18,"Leslie's Pool Supplies","LESLIES POOL SPLY        GILBERT      AZ",Home Supplies,-90.84,Posted
2026-05-18,"Circle K","CIRCLE K 08834           CHANDLER     AZ",Gas,-27.18,Posted
2026-05-18,"Prime Video","Prime Video *5T8MU5CI3   888-802-3080 WA",Television,-26.56,Posted
2026-05-18,"Fandango","PAYPAL *FANDANGO         402-935-7733 CA",Movies & Dvds,-26.56,Posted
2026-05-18,"Posit Software","POSIT SOFTWARE  PBC      POSIT.CO     MA",Business Services,-15.95,Posted
2026-05-18,"Amazon Grocery","Amazon Grocery Subscri   888-280-4331 WA",Groceries,-10.62,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-8.98,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-8.60,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-8.58,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-7.59,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-7.51,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-6.85,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-6.31,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-6.14,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.89,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.88,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.63,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.61,Posted
2026-05-18,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.48,Posted
2026-05-18,"Stash Cash Klymx","Stash Cash Mngt  Stash      2KLYMX2XN5ZCF3A",Income,150.00,Posted
2026-05-15,"Salt River Project SurePay","SRP              SUREPAY-S1 ***********8008",Bills & Utilities,-238.18,Posted
2026-05-15,"USAA Credit Card","USAA CREDIT CARD PAYMENT    ***********5021",Credit Card Payment,-139.00,Posted
2026-05-15,"Bongiorno Bagels","TST*BONGIORNO BAGELS     Gilbert      AZ",Fast Food,-33.12,Posted
2026-05-15,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-21.77,Posted
2026-05-15,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-15.41,Posted
2026-05-15,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.48,Posted
2026-05-14,"PayPal","PAYPAL           PURCHASE   ***********TIME",Uncategorized,-4.25,Posted
2026-05-14,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-43.73,Posted
2026-05-13,"PayPal","PAYPAL           PURCHASE   ***********.HBO",Uncategorized,-19.66,Posted
2026-05-13,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-60.22,Posted
2026-05-13,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-20.46,Posted
2026-05-12,"Waste Management","WASTE MANAGEMENT PAYMENT    ***********3001",Utilities,-34.74,Posted
2026-05-12,"Stash Cash X en","Stash Cash Mngt  Stash      ***********X4EN",Investments,-30.00,Posted
2026-05-12,"Jv's Barbershop","SQ *JV'S BARBERSHOP      GILBERT      AZ",Hair,-42.00,Posted
2026-05-12,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.48,Posted
2026-05-11,"PayPal","PAYPAL           PURCHASE   ***********OSTC",Uncategorized,-282.81,Posted
2026-05-11,"PayPal","PAYPAL           PURCHASE   ***********3C21",Uncategorized,-13.81,Posted
2026-05-11,"PayPal","PAYPAL           PURCHASE   ***********RRIS",Uncategorized,-7.00,Posted
2026-05-11,"Microsoft","MICROSOFT*MICROSOFT 36   REDMOND      WA",Electronics & Software,-129.99,Posted
2026-05-11,"Eraser Io Ioca","ERASER.IO                WWW.ERASER.IOCA",Electronics & Software,-120.00,Posted
2026-05-11,"Fabletics","IBI*FABLETICS.COM        844-3225384  CA",Clothing,-69.95,Posted
2026-05-11,"Savage X","PAYPAL *SAVAGE X         402-935-7733 CA",Clothing,-59.95,Posted
2026-05-11,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-59.64,Posted
2026-05-11,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-48.51,Posted
2026-05-11,"Posit Software","POSIT SOFTWARE  PBC      WWW.POSIT.CO MA",Electronics & Software,-13.82,Posted
2026-05-11,"Apple","APPLE.COM/BILL           866-712-7753 CA",Electronics & Software,-13.81,Posted
2026-05-11,"Circle K","CIRCLE K # 03462         CHANDLER     AZ",Gas,-8.35,Posted
2026-05-11,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-7.73,Posted
2026-05-11,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-6.22,Posted
2026-05-11,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.84,Posted
2026-05-11,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.84,Posted
2026-05-11,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.61,Posted
2026-05-11,"Anthropic","ANTHROPIC                ANTHROPIC.COMCA",Electronics & Software,-5.55,Posted
2026-05-08,"Py the Perfect Clean","PY*THE PERFECT CLEAN     623-853-7009 AZ",Home,-180.25,Posted
2026-05-08,"Coach","COACH 3703               Chandler     AZ",Shopping,-154.26,Posted
2026-05-08,"The Perfect Clean Theperfectcleaz","THE PERFECT CLEAN        THEPERFECTCLEAZ",Home,-40.00,Posted
2026-05-08,"Fandango","PAYPAL *FANDANGO         402-935-7733 CA",Movies & Dvds,-31.88,Posted
2026-05-08,"Posit Software","POSIT SOFTWARE  PBC      POSIT.CO     MA",Electronics & Software,-21.26,Posted
2026-05-08,"Apple","APPLE COM                CUPERTINO    CA",Electronics & Software,-20.19,Posted
2026-05-08,"Fandango","PAYPAL *FANDANGO         402-935-7733 CA",Movies & Dvds,-15.93,Posted
2026-05-08,"Eos Ray and Cooper","8185 EOS RAY AND COOPER  CHANDLER     AZ",Entertainment,-4.55,Posted
2026-05-07,"PayPal","PAYPAL           PURCHASE   ***********EDIN",Uncategorized,-191.24,Posted
2026-05-07,"PayPal","PAYPAL           PURCHASE   *********** INC",Uncategorized,-11.72,Posted
2026-05-07,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-47.48,Posted
2026-05-07,"Fandango","PAYPAL *FANDANGO         402-935-7733 CA",Movies & Dvds,-26.56,Posted
2026-05-07,"Netflix","NETFLIX.COM              NETFLIX.COM  CA",Television,-21.55,Posted
2026-05-06,"Chevron","CHEVRON 0207556          CHANDLER     AZ",Gas,-14.17,Posted
